# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 04:42:23 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '% b%'   nejvnitrnejsi planety
# CONSTRAINT:  and pl_orbperstr not null            znama perioda obehu
# CONSTRAINT:  and pl_orbsmaxstr not null           znama hl. poloosa
# CONSTRAINT:  and pl_radestr not null              znamy polomer planety
# CONSTRAINT:  and pl_bmassestr not null            znama hmotnost planety
# CONSTRAINT:  and pl_bmassprov like '%mass%'       hmotnost dokazana
# CONSTRAINT:  and pl_orbeccenstr not null)         znama vystrednost
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim
CoRoT-25 b,1,1,Transit,2013,0,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,1.080,0.300,-0.100,0,85.81000,12.71000,-12.71000,0,0.27000,0.04000,-0.04000,0,Mass,0.000000,,,0,0,1.09,0.11,-0.05,0
CoRoT-26 b,1,1,Transit,2013,0,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,14.120,1.460,-0.780,0,1.260,0.130,-0.070,0,165.26000,15.89000,-15.89000,0,0.52000,0.05000,-0.05000,0,Mass,0.000000,,,0,0,1.09,0.06,-0.06,0
CoRoT-27 b,1,1,Transit,2014,0,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,11.287,0.493,-0.493,0,1.007,0.044,-0.044,0,3302.11000,174.80000,-174.80000,0,10.39000,0.55000,-0.55000,0,Mass,0.065000,,,1,0,1.05,0.11,-0.11,0
CoRoT-28 b,1,1,Transit,2015,0,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,10.705,0.740,-0.740,0,0.955,0.066,-0.066,0,153.82972,27.65121,-27.65121,0,0.48400,0.08700,-0.08700,0,Mass,0.047000,0.055000,-0.038000,0,0,1.01,0.14,-0.14,0
CoRoT-29 b,1,1,Transit,2015,0,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,10.088,1.793,-1.793,0,0.900,0.160,-0.160,0,270.15550,63.56600,-63.56600,0,0.85000,0.20000,-0.20000,0,Mass,0.082000,0.081000,-0.081000,0,0,0.97,0.14,-0.14,0
CoRoT-3 b,1,1,Transit,2008,0,4.25680000,0.00000500,-0.00000500,0,0.057830,0.000850,-0.000850,0,11.320,0.780,-0.780,0,1.010,0.070,-0.070,0,6883.91000,317.80000,-317.80000,0,21.66000,1.00000,-1.00000,0,Mass,0.000000,,,0,0,1.37,0.09,-0.09,0
CoRoT-30 b,1,1,Transit,2020,0,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,11.310,0.852,-0.852,0,1.009,0.076,-0.076,0,921.70700,69.92260,-69.92260,0,2.90000,0.22000,-0.22000,0,Mass,0.007000,0.031000,-0.031000,0,0,0.98,0.03,-0.05,0
CoRoT-31 b,1,1,Transit,2020,0,4.62941000,0.00075000,-0.00075000,0,0.058600,0.003400,-0.003400,0,16.365,3.363,-3.363,0,1.460,0.300,-0.300,0,266.97720,108.06220,-108.06220,0,0.84000,0.34000,-0.34000,0,Mass,0.020000,0.160000,-0.160000,0,0,1.25,0.22,-0.21,0
CoRoT-35 b,1,1,Transit,2022,0,3.22748000,0.00008000,-0.00008000,0,0.042900,0.000920,-0.000920,0,18.831,1.233,-1.233,0,1.680,0.110,-0.110,0,349.61125,117.59651,-117.59651,0,1.10000,0.37000,-0.37000,0,Mass,0.000000,,,0,1,1.01,0.07,-0.06,0
CoRoT-36 b,1,1,Transit,2022,0,5.61653100,0.00002300,-0.00002300,0,0.066000,0.007000,-0.007000,0,15.805,1.569,-1.569,0,1.410,0.140,-0.140,0,216.12332,149.37935,-136.66622,1,0.68000,0.47000,-0.43000,1,Mass,0.000000,,,0,0,1.32,0.09,-0.09,0
CoRoT-4 b,1,1,Transit,2008,0,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,13.340,0.670,-0.560,0,1.190,0.060,-0.050,0,228.83000,25.43000,-25.43000,0,0.72000,0.08000,-0.08000,0,Mass,0.000000,0.100000,-0.100000,0,0,1.16,0.03,-0.02,0
CoRoT-5 b,1,1,Transit,2009,0,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,15.558,0.516,-0.527,0,1.388,0.046,-0.047,0,148.42000,14.93700,-7.62800,0,0.46700,0.04700,-0.02400,0,Mass,0.090000,0.090000,-0.040000,0,0,1.00,0.02,-0.02,0
CoRoT-6 b,1,1,Transit,2009,0,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,13.068,0.392,-0.392,0,1.166,0.035,-0.035,0,940.74000,108.06000,-108.06000,0,2.96000,0.34000,-0.34000,0,Mass,0.100000,,,1,0,1.05,0.05,-0.05,0
CoRoT-7 b,1,3,Transit,2009,0,0.85359163,0.00000001,-0.00000001,0,0.017016,0.000170,-0.000036,0,1.681,0.112,-0.112,0,0.150,0.010,-0.010,0,4.07661,1.01982,-1.01982,0,0.01283,0.00321,-0.00321,0,Mass,0.000000,,,0,0,0.82,0.17,-0.17,0
CoRoT-8 b,1,1,Transit,2010,0,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,6.390,0.220,-0.220,0,0.570,0.020,-0.020,0,69.92000,9.53000,-9.53000,0,0.22000,0.03000,-0.03000,0,Mass,0.000000,,,0,0,0.88,0.04,-0.04,0
CoRoT-9 b,2,1,Transit,2009,0,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,11.949,0.841,-0.706,0,1.066,0.075,-0.063,0,266.97720,15.89150,-15.89150,0,0.84000,0.05000,-0.05000,0,Mass,0.133000,0.042000,-0.037000,0,0,0.96,0.04,-0.04,0
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,0,246.36000000,1.38000000,-1.35000000,0,0.360000,0.010000,-0.010000,0,11.900,,,0,1.060,,,0,9057.77000,603.85000,-603.85000,0,28.50000,1.90000,-1.90000,0,Mass,0.345000,0.068000,-0.064000,0,0,0.07,0.01,-0.01,0
DP Leo b,2,1,Eclipse Timing Variations,2009,0,10220.00000000,730.00000000,-730.00000000,0,8.190000,0.390000,-0.390000,0,12.700,,,0,1.140,,,0,1995.88832,184.33363,-184.33363,0,6.28000,0.58000,-0.58000,0,Mass,0.390000,0.130000,-0.130000,0,0,0.69,,,0
EPIC 211945201 b,1,1,Transit,2018,0,19.49221000,0.00066600,-0.00065300,0,0.149300,0.001500,-0.001500,0,5.760,0.300,-0.300,0,0.514,0.027,-0.027,0,27.00000,14.00000,-12.60000,0,0.08495,0.04405,-0.03964,0,Mass,0.000000,,,0,0,1.17,0.04,-0.04,0
EPIC 220674823 b,1,2,Transit,2016,0,0.57129200,0.00001200,-0.00001200,0,0.013260,0.000280,-0.000230,0,1.725,0.039,-0.039,0,0.154,0.003,-0.003,0,8.21000,0.76000,-0.74000,0,0.02583,0.00239,-0.00233,0,Mass,0.000000,,,0,0,0.95,0.06,-0.05,0
EPIC 229004835 b,1,1,Transit,2023,0,16.14113200,0.00001900,-0.00001900,0,0.123700,0.001700,-0.001700,0,2.332,0.080,-0.094,0,0.208,0.007,-0.008,0,10.40000,1.60000,-1.50000,0,0.03272,0.00503,-0.00472,0,Mass,0.230000,,,1,0,0.97,0.04,-0.04,0
EPIC 248847494 b,1,1,Transit,2018,0,3650.00000000,1280.00000000,-1130.00000000,0,4.500000,1.000000,-1.000000,0,12.442,0.785,-0.785,0,1.110,0.070,-0.070,0,4131.79000,,,1,13.00000,,,1,Mass,0.000000,,,0,0,0.90,0.09,-0.09,0
EPIC 249893012 b,1,3,Transit,2020,0,3.59510000,0.00030000,-0.00030000,0,0.047000,0.005000,-0.007000,0,1.950,0.090,-0.080,0,0.174,0.008,-0.007,0,8.75000,1.09000,-1.08000,0,0.02753,0.00343,-0.00340,0,Mass,0.060000,0.080000,-0.040000,0,0,1.05,0.05,-0.05,0
G 9-40 b,1,1,Transit,2019,0,5.74600700,0.00000600,-0.00000600,0,0.038500,0.007800,-0.005300,0,2.025,0.096,-0.097,0,0.181,0.009,-0.009,0,11.70000,,,1,0.03681,,,1,Mass,0.000000,,,0,0,0.29,0.02,-0.02,0
GJ 1132 b,1,2,Transit,2015,0,1.62893100,0.00002700,-0.00002700,0,0.015300,0.000500,-0.000500,0,1.130,0.056,-0.056,0,0.101,0.005,-0.005,0,1.66000,0.23000,-0.23000,0,0.00522,0.00072,-0.00072,0,Mass,0.220000,,,1,0,0.18,0.02,-0.02,0
GJ 1214 b,1,1,Transit,2009,0,1.58040453,0.00000002,-0.00000002,0,0.015050,0.000110,-0.000110,0,2.733,0.033,-0.031,0,0.244,0.003,-0.003,0,8.41000,0.36000,-0.35000,0,0.02646,0.00113,-0.00110,0,Mass,0.006200,0.007900,-0.004400,0,0,0.18,0.00,0.00,0
GJ 1252 b,1,1,Transit,2020,0,0.51823310,0.00000840,-0.00000840,0,0.009150,0.000150,-0.000150,0,1.193,0.074,-0.074,0,0.106,0.007,-0.007,0,1.32000,0.28000,-0.28000,0,0.00415,0.00088,-0.00088,0,Mass,0.000000,,,0,0,0.38,0.02,-0.02,0
GJ 143 b,1,2,Transit,2019,0,35.61253000,0.00060000,-0.00062000,0,0.191500,0.005800,-0.006300,0,2.610,0.170,-0.160,0,0.233,0.015,-0.014,0,22.70000,2.20000,-1.90000,0,0.07142,0.00692,-0.00598,0,Mass,0.188000,0.076000,-0.078000,0,0,0.73,0.07,-0.07,0
GJ 179 b,1,1,Radial Velocity,2009,0,2288.00000000,59.00000000,-59.00000000,0,2.410000,0.040000,-0.040000,0,13.800,,,0,1.230,,,0,301.93699,50.85255,-34.96112,0,0.95000,0.16000,-0.11000,0,Mass,0.210000,0.080000,-0.080000,0,0,0.36,0.03,-0.03,0
GJ 3090 b,1,1,Transit,2022,0,2.85310540,0.00000230,-0.00000230,0,0.031650,0.000270,-0.000270,0,2.130,0.110,-0.110,0,0.190,0.010,-0.010,0,3.34000,0.72000,-0.72000,0,0.01051,0.00227,-0.00227,0,Mass,0.320000,,,1,0,0.52,0.01,-0.01,0
GJ 317 b,1,2,Radial Velocity,2007,0,695.66000000,0.35500000,-0.35500000,0,1.151000,0.018000,-0.018000,0,13.300,,,0,1.180,,,0,794.50000,222.50000,-127.10000,0,2.50000,0.70000,-0.40000,0,Mass,0.070000,0.010000,-0.010000,0,0,0.42,0.02,-0.02,0
GJ 3470 b,1,1,Radial Velocity,2012,0,3.33664960,0.00000390,-0.00000330,0,0.035500,0.001900,-0.001900,0,4.570,0.180,-0.180,0,0.408,0.016,-0.016,0,13.90000,1.50000,-1.50000,0,0.04373,0.00472,-0.00472,0,Mass,0.017000,0.016000,-0.012000,0,0,0.54,0.05,-0.04,0
GJ 3473 b,2,2,Transit,2020,0,1.19800350,0.00000180,-0.00000190,0,0.015890,0.000620,-0.000620,0,1.264,0.050,-0.049,0,0.113,0.004,-0.004,0,1.86000,0.30000,-0.30000,0,0.00585,0.00094,-0.00094,0,Mass,0.000000,,,0,0,0.36,0.02,-0.02,0
GJ 3634 b,1,1,Radial Velocity,2010,0,2.64561000,0.00066000,-0.00066000,0,0.028700,0.001000,-0.001100,0,2.830,,,0,0.253,,,0,8.40000,4.00000,-1.50000,0,0.02600,0.01300,-0.00500,0,Mass,0.080000,0.094000,-0.057000,0,0,0.45,0.05,-0.05,0
GJ 367 b,1,3,Transit,2021,0,0.32192250,0.00000020,-0.00000020,0,0.007090,0.000270,-0.000270,0,0.699,0.024,-0.024,0,0.062,0.002,-0.002,0,0.63300,0.05000,-0.05000,0,0.00199,0.00016,-0.00016,0,Mass,0.060000,0.070000,-0.040000,0,0,0.46,0.01,-0.01,0
